Title,Actors,Directors,Genre,IMDb_Rating,Plot,Poster_Image,Link
The Frog (South Korean TV series),"['Kim Yoon-seok', 'Yoon Kye-sang', 'Go Min-si', 'Lee Jung-eun']",['Mo Wan-il [ko]'],"['Mystery', 'Crime thriller']",6.8,"A man's life unravels when a mysterious woman arrives at his motel one summer, forcing him to grasp tightly to what he cherishes most.  A man's life unravels when a mysterious woman arrives at his motel one summer, forcing him to grasp tightly to what he cherishes most. ",https://upload.wikimedia.org/wikipedia/en/thumb/4/45/The_Frog_%28South_Korean_TV_series%29_poster.png/250px-The_Frog_%28South_Korean_TV_series%29_poster.png,https://en.wikipedia.org/wiki/The_Frog_(South_Korean_TV_series)
The Fugitive of Joseon,"['Lee Dong-wook', 'Song Ji-hyo', 'Kim Yoo-bin', 'Lim Seul-ong']","['Lee Jin-seo', 'Jeon Woo-sung']","['Historical', 'Thriller', 'Mystery', 'Romance']",6.7,"Set during the reign of King Injong, the protagonist is a royal physician desperate to cure his ailing daughter. He becomes a fugitive when he gets entangled in an assassination plot to poison the crown prince, and fights to save both his daughter's life and his own.   Set during the reign of King Injong, the protagonist is a royal physician desperate to cure his ailing daughter. He becomes a fugitive when he gets entangled in an assassination plot to poison the crown prince, and fights to save both his daughter's life and his own. ",https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Fugitive_of_Joseon-poster.jpg/250px-Fugitive_of_Joseon-poster.jpg,https://en.wikipedia.org/wiki/The_Fugitive_of_Joseon
The Fugitive: Plan B,"['Rain', 'Lee Na-young', 'Lee Jung-jin', 'Yoon Jin-seo', 'Daniel Henney']",['Kwak Jung-hwan'],"['Action, Romance, Comedy']",6.9,"For as long as she can remember, Jin Ji Ni (Lee Na Young) has been running for her life as the anonymous and seemingly omnipresent Melchidech tracks her down.  For as long as she can remember, Jin Ji Ni (Lee Na Young) has been running for her life as the anonymous and seemingly omnipresent Melchidech tracks her down. ",https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Fullsizephoto129697.jpg/220px-Fullsizephoto129697.jpg,https://en.wikipedia.org/wiki/The_Fugitive:_Plan_B
The Game: Towards Zero,"['Ok Taec-yeon', 'Lee Yeon-hee', 'Lim Ju-hwan']",['Jang Joon-ho'],"['Mystery', 'Crime']",7.1,"When Kim Tae Pyung looks into a person's eyes, he can see the moment preceding their death. He partners with Detective Seo Joon Young to solve a serial murder case.  When Kim Tae Pyung looks into a person's eyes, he can see the moment preceding their death. He partners with Detective Seo Joon Young to solve a serial murder case. ",https://upload.wikimedia.org/wikipedia/en/thumb/b/b0/The_Game_Towards_Zero.jpg/220px-The_Game_Towards_Zero.jpg,https://en.wikipedia.org/wiki/The_Game:_Towards_Zero
The Ghost Detective,"['Choi Daniel', 'Park Eun-bin', 'Lee Ji-ah']",['Lee Jae-hoon'],"['Crime', 'Horror', 'Thriller', 'Mystery']",6.8,Lee Da Il is a private investigator. Jung Yeo Wool becomes his assistant to solve a mystery related to her younger sibling's death. They work together to solve other mysterious crimes.  Lee Da Il is a private investigator. Jung Yeo Wool becomes his assistant to solve a mystery related to her younger sibling's death. They work together to solve other mysterious crimes. ,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/The_Ghost_Detective.jpg/220px-The_Ghost_Detective.jpg,https://en.wikipedia.org/wiki/The_Ghost_Detective
The Glory (TV series),"['Song Hye-kyo', 'Lee Do-hyun', 'Lim Ji-yeon', 'Yeom Hye-ran', 'Park Sung-hoon', 'Jung Sung-il']",['Ahn Gil-ho'],"['Revenge', 'Psychological thriller']",8.1,A woman lives for absolute revenge against her childhood bullies who destroyed her life.  A woman lives for absolute revenge against her childhood bullies who destroyed her life. ,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/The_Glory_TV_series.jpg/250px-The_Glory_TV_series.jpg,https://en.wikipedia.org/wiki/The_Glory_(TV_series)
The Golden Garden,"['Han Ji-hye', 'Lee Sang-woo', 'Oh Ji-eun', 'Lee Tae-sung']","['Lee Dae-yeong', 'Lee Dong-hyun']","['Melodrama', 'Mystery', 'Thriller', 'Romance']",6.7,"""Golden Garden"" tells the story of four people who have lived totally different lives from one another but get involved in each other's lives due to an incident.  ""Golden Garden"" tells the story of four people who have lived totally different lives from one another but get involved in each other's lives due to an incident. ",https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/The_Golden_Garden.jpg/220px-The_Golden_Garden.jpg,https://en.wikipedia.org/wiki/The_Golden_Garden
The Golden Spoon,"['Yook Sung-jae', 'Lee Jong-won', 'Jung Chae-yeon', 'Yeonwoo']",['Song Hyun-wook'],"['Coming-of-age', 'Mystery', 'Fantasy']",7.5,Seung Cheon gets his hands on a magical spoon that allows him to switch lives with his rich best friend. Now he has to decide which of his two possible futures is worth keeping.  Seung Cheon gets his hands on a magical spoon that allows him to switch lives with his rich best friend. Now he has to decide which of his two possible futures is worth keeping. ,https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Golden_Spoon.jpg/220px-Golden_Spoon.jpg,https://en.wikipedia.org/wiki/The_Golden_Spoon
The Good Bad Mother,"['Ra Mi-ran', 'Lee Do-hyun', 'Ahn Eun-jin', 'Yoo In-soo']",['Shim Na-yeon'],"['Family', 'Comedy drama', 'Slice-of-life']",8.4,"A tragic accident leaves an ambitious prosecutor with the mind of a child, forcing him and his mother to embark on a journey to heal their relationship.  A tragic accident leaves an ambitious prosecutor with the mind of a child, forcing him and his mother to embark on a journey to heal their relationship. ",https://upload.wikimedia.org/wikipedia/en/thumb/5/56/The_Good_Bad_Mother.jpg/250px-The_Good_Bad_Mother.jpg,https://en.wikipedia.org/wiki/The_Good_Bad_Mother
The Good Detective,"['Son Hyun-joo', 'Jang Seung-jo', 'Lee Elijah', 'Oh Jung-se', 'Ji Seung-hyun', 'Kim Hyo-jin', 'Jung Moon-sung']",['Jo Nam-gook'],"['Crime drama', 'Detective']",7.6,A drama about the race between people who want to get closer to the truth and those who want to cover it up.  A drama about the race between people who want to get closer to the truth and those who want to cover it up. ,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/The_Good_Detective.jpg/220px-The_Good_Detective.jpg,https://en.wikipedia.org/wiki/The_Good_Detective
