Title,Actors,Directors,Genre,IMDb_Rating,Plot,Poster_Image,Link
100 Days My Prince,"['Doh Kyung-soo', 'Nam Ji-hyun', 'Jo Sung-ha', 'Jo Han-chul', 'Kim Seon-ho', 'Han So-hee', 'Kim Jae-young']","['Lee Jong-jae', 'Nam Sung-woo']","['Historical', 'Romantic comedy']",7.8,"Upon losing his memory, a crown prince encounters a commoner's life and experiences unforgettable love as the husband to Joseon's oldest bachelorette.  Upon losing his memory, a crown prince encounters a commoner's life and experiences unforgettable love as the husband to Joseon's oldest bachelorette. ",https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/100_Days_My_Prince.jpg/250px-100_Days_My_Prince.jpg,https://en.wikipedia.org/wiki/100_Days_My_Prince
12 Signs of Love,"['Yoon Jin-seo', 'On Joo-wan']",['Oh Jong-rok'],['Romantic comedy'],5.6,"A young man struggling for a good life meets a deaf girl from a well-off nearby family, he suddenly sees hope for love, and a better life but only if he can escape the predicament of the streets and the influence of his older sister.   A young man struggling for a good life meets a deaf girl from a well-off nearby family, he suddenly sees hope for love, and a better life but only if he can escape the predicament of the streets and the influence of his older sister. ",https://upload.wikimedia.org/wikipedia/en/thumb/3/31/Twelvemeninayear-poster.jpg/220px-Twelvemeninayear-poster.jpg,https://en.wikipedia.org/wiki/12_Signs_of_Love
12 Years Promise,"['Lee So-yeon', 'Namkoong Min', 'Lee Tae-im', 'Yoon So-hee', 'Lee Won-keun', 'Ryu Hyo-young']","['Kim Do-hyung', 'Yoon Jae-won']","['Romantic comedy', 'Family']",7.2,"A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea.  A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea. ",https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Wild_Chives_and_Soy_Bean_Soup-poster.jpg/220px-Wild_Chives_and_Soy_Bean_Soup-poster.jpg,https://en.wikipedia.org/wiki/12_Years_Promise
18 Again,"['Kim Ha-neul', 'Yoon Sang-hyun', 'Lee Do-hyun']",['Ha Byung-hoon'],"['Romance', 'Comedy', 'Fantasy drama', 'Coming-of-age']",5.8,"In this feel-good body-switchers comedy, aging worldly-wise businessman Jack Watson swaps bodies with his grandson David in the wake of an automobile accident. George Burns shines in his final leading role.   In this feel-good body-switchers comedy, aging worldly-wise businessman Jack Watson swaps bodies with his grandson David in the wake of an automobile accident. George Burns shines in his final leading role. ",https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/18_Again_2020.jpg/220px-18_Again_2020.jpg,https://en.wikipedia.org/wiki/18_Again
365: Repeat the Year,"['Lee Joon-hyuk', 'Nam Ji-hyun', 'Kim Ji-soo', 'Yang Dong-geun']",['Kim Kyung-hee'],"['Mystery', 'Fantasy']",7.9,"A story where ten people get the chance to go back in time by one year, but unexpectedly mysterious situations start to arise when their fates are changed and twisted in the process.  A story where ten people get the chance to go back in time by one year, but unexpectedly mysterious situations start to arise when their fates are changed and twisted in the process. ",https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/365_Repeat_the_Year.jpg/220px-365_Repeat_the_Year.jpg,https://en.wikipedia.org/wiki/365:_Repeat_the_Year
4 Legendary Witches,"['Han Ji-hye', 'Ha Seok-jin', 'Go Doo-shim', 'Oh Hyun-kyung', 'Ha Yeon-soo']",['Joo Sung-woo'],"['Romance', 'Revenge', 'Family']",7.6,"Soo In, Bok Nyeo, Pung Geum, and Mi Oh, are four female prisoners at a correctional facility who have been victims of a miscarriage of justice in different cases, which later turn out to have a common thread intertwined. They team up to challenge a big conglomerate in order to ex... Read all   Soo In, Bok Nyeo, Pung Geum, and Mi Oh, are four female prisoners at a correctional facility who have been victims of a miscarriage of justice in different cases, which later turn out to have a common thread intertwined. They team up to challenge a big conglomerate in order to ex... Read all Read all  ",https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Legendarywitchesposter.png/220px-Legendarywitchesposter.png,https://en.wikipedia.org/wiki/4_Legendary_Witches
49 Days,"['Lee Yo-won', 'Nam Gyu-ri', 'Jung Il-woo', 'Jo Hyun-jae', 'Bae Soo-bin', 'Seo Ji-hye']",['Jo Young-kwang'],"['Romance', 'Melodrama', 'Fantasy', 'Body swap']",4.6,The same nightmare troubles Daniel every night: A vision of a young lady in red dress continuously appears. A timer counting-back from 49 mysteriously appears on his arm. People around him accidentally died one by one in brutal ways.   The same nightmare troubles Daniel every night: A vision of a young lady in red dress continuously appears. A timer counting-back from 49 mysteriously appears on his arm. People around him accidentally died one by one in brutal ways. ,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/49dayspost.jpg/220px-49dayspost.jpg,https://en.wikipedia.org/wiki/49_Days
5th Republic (TV series),"['Lee Deok-hwa', 'Seo In-seok', 'Hong Hak-pyo', 'Lee Jin-woo', 'Cha Kwang-soo', 'Lee Jae-yong']","['Im Tae-woo', 'Kim Sang-rae']","['Period drama', 'Docudrama', 'Biopic']",8.7,"5th Republic is a controversial political drama about the Fifth Republic of South Korea, one of the most turbulent times in modern Korean history.  5th Republic is a controversial political drama about the Fifth Republic of South Korea, one of the most turbulent times in modern Korean history. ",https://upload.wikimedia.org/wikipedia/en/thumb/1/16/5th_Republic_%28TV_series%29.jpg/220px-5th_Republic_%28TV_series%29.jpg,https://en.wikipedia.org/wiki/5th_Republic_(TV_series)
7 First Kisses,"['Lee Cho-hee', 'Choi Ji-woo', 'Lee Joon-gi', 'Park Hae-jin', 'Ji Chang-wook', 'Kim Jong-in', 'Ok Taec-yeon', 'Lee Jong-suk', 'Lee Min-ho']",['Jung Jung-hwa'],['Romantic comedy'],6.1,"Young Ji Eun-Tak can see ghosts and meets Kim Shin, a man who is a goblin. The goblin is cursed to live forever and his only hope is to find a betrothed who can pull out the sword stuck in his chest.   Young Ji Eun-Tak can see ghosts and meets Kim Shin, a man who is a goblin. The goblin is cursed to live forever and his only hope is to find a betrothed who can pull out the sword stuck in his chest. ",https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/First_Seven_Kisses_Poster.jpg/220px-First_Seven_Kisses_Poster.jpg,https://en.wikipedia.org/wiki/7_First_Kisses
7th Grade Civil Servant,"['Choi Kang-hee', 'Joo Won']","['Kim Sang-hyup', 'Oh Hyun-jong']","['Romantic comedy', 'Action']",6.2,"A romantic comedy about a spy couple who hides their true identity from each other and at the same time illustrates about the love, friendship and internal department conflicts between the new generation of national intelligence agents.   A romantic comedy about a spy couple who hides their true identity from each other and at the same time illustrates about the love, friendship and internal department conflicts between the new generation of national intelligence agents. ",https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/7th_Grade_Civil_Servant-poster.jpg/220px-7th_Grade_Civil_Servant-poster.jpg,https://en.wikipedia.org/wiki/7th_Grade_Civil_Servant
"90 Days, Time to Love","['Kang Ji-hwan', 'Kim Ha-neul', 'Jung Hye-young', 'Yoon Hee-seok']",['Oh Jong-rok'],"['Melodrama', 'Romance']",7.5,"What happens to a love that is taboo and goes against society's morality? Hyun Ji Seok (Kang Ji Hwan) and Go Mi Yeon (Kim Ha Neul) are high school sweethearts. But they discover that they are cousins, and their love is forbidden by society's mores. So they go their separate ways.... Read all   What happens to a love that is taboo and goes against society's morality? Hyun Ji Seok (Kang Ji Hwan) and Go Mi Yeon (Kim Ha Neul) are high school sweethearts. But they discover that they are cousins, and their love is forbidden by society's mores. So they go their separate ways.... Read all Read all  ",https://upload.wikimedia.org/wikipedia/en/thumb/1/1f/90_Days%2C_Time_to_Love-poster.jpg/220px-90_Days%2C_Time_to_Love-poster.jpg,"https://en.wikipedia.org/wiki/90_Days,_Time_to_Love"
A Beautiful Mind (TV series),"['Jang Hyuk', 'Park So-dam', 'Yoon Hyun-min', 'Park Se-young', 'Huh Joon-ho']",['Mo Wan-il'],"['Medical', 'Melodrama', 'Mystery']",7.1,"Dr. Oliver Wolf, a gifted neurologist, applies his unconventional approach to treating puzzling psychological cases.  Dr. Oliver Wolf, a gifted neurologist, applies his unconventional approach to treating puzzling psychological cases. ",https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Park-so-dam_1465617666_jj.jpg/220px-Park-so-dam_1465617666_jj.jpg,https://en.wikipedia.org/wiki/A_Beautiful_Mind_(TV_series)
A Bird That Doesn't Sing,"['Oh Hyun-kyung', 'Hong Ah-reum', 'Kang Ji-sub', 'Kim Yu-seok', 'Baek Seung-hee', 'Ahn Jae-min']",['Kim Pyung-jung'],"['Revenge', 'Melodrama', 'Soap opera']",6.4,"Based on the actual events of one of the most horrific cases of child abuse ever to be documented, this haunting drama tells the tale of a young girl who was locked in a room for over 12 years.   Based on the actual events of one of the most horrific cases of child abuse ever to be documented, this haunting drama tells the tale of a young girl who was locked in a room for over 12 years. ",https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/A_Bird_That_Doesn%27t_Sing_Poster.jpg/220px-A_Bird_That_Doesn%27t_Sing_Poster.jpg,https://en.wikipedia.org/wiki/A_Bird_That_Doesn%27t_Sing
A Bloody Lucky Day,"['Lee Sung-min', 'Yoo Yeon-seok', 'Lee Jung-eun']",['Pil Gam-seong'],"['Psychological drama', 'Thriller']",7.3,An ordinary taxi driver who becomes entangled with a customer that turns out to be a serial killer.  An ordinary taxi driver who becomes entangled with a customer that turns out to be a serial killer. ,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/A_Bloody_Lucky_Day-jpg.jpeg/250px-A_Bloody_Lucky_Day-jpg.jpeg,https://en.wikipedia.org/wiki/A_Bloody_Lucky_Day
A Gentleman's Dignity,"['Jang Dong-gun', 'Kim Ha-neul', 'Kim Soo-ro', 'Kim Min-jong', 'Lee Jong-hyuk']","['Shin Woo-chul', 'Kwon Hyeok-chan']","['Romance', 'Comedy', 'Drama']",7.9,"A drama about the careers and love lives of urban professionals. It will tell the story of four men in their forties as they go through love, breakup, success and failure.  A drama about the careers and love lives of urban professionals. It will tell the story of four men in their forties as they go through love, breakup, success and failure. ",https://upload.wikimedia.org/wikipedia/en/thumb/0/06/A_Gentleman%27s_Dignity_drama_poster.jpg/250px-A_Gentleman%27s_Dignity_drama_poster.jpg,https://en.wikipedia.org/wiki/A_Gentleman%27s_Dignity
A Girl Who Sees Smells,"['Park Yoo-chun', 'Shin Se-kyung', 'Namgoong Min', 'Yoon Jin-seo']","['Baek Soo-chan', 'Oh Chung-hwan']","['Romance', 'Suspense', 'Fantasy']",7.1,"Detective Tae Ho lost his younger sister to a barcode-murder case and lost his ability to taste, smell, and feel pain. He then meets Oh Cho Rim, the only witness to the murder case who possesses a special sense: she can see smells.   Detective Tae Ho lost his younger sister to a barcode-murder case and lost his ability to taste, smell, and feel pain. He then meets Oh Cho Rim, the only witness to the murder case who possesses a special sense: she can see smells. ",https://upload.wikimedia.org/wikipedia/en/thumb/5/59/The_girl_who_sees_smell.jpg/250px-The_girl_who_sees_smell.jpg,https://en.wikipedia.org/wiki/A_Girl_Who_Sees_Smells
A Good Day to Be a Dog,"['Park Gyu-young', 'Cha Eun-woo', 'Lee Hyun-woo']",['Kim Dae-woong'],"['Romantic comedy', 'Fantasy']",7.2,"An unpredictable fantasy romance between a woman living under a curse that causes her to turn into a dog when kissed, and the only one who can help her overcome the curse is a man who is afraid of dogs.   An unpredictable fantasy romance between a woman living under a curse that causes her to turn into a dog when kissed, and the only one who can help her overcome the curse is a man who is afraid of dogs. ",https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/A_Good_Day_to_Be_a_Dog.jpg/250px-A_Good_Day_to_Be_a_Dog.jpg,https://en.wikipedia.org/wiki/A_Good_Day_to_Be_a_Dog
A Hundred Year Legacy,"['Eugene', 'Lee Jung-jin']",['Joo Sung-woo'],['Romance'],7.8,"""Cinderella"" tale, unrequited love.  ""Cinderella"" tale, unrequited love. ",https://upload.wikimedia.org/wikipedia/en/thumb/4/41/A_Hundred_Year_Legacy-poster.jpg/220px-A_Hundred_Year_Legacy-poster.jpg,https://en.wikipedia.org/wiki/A_Hundred_Year_Legacy
A Killer Paradox,"['Choi Woo-shik', 'Son Suk-ku', 'Lee Hee-joon']",['Lee Chang-hee'],"['Crime thriller', 'Dark comedy']",7.1,"When one accidental killing leads to another, an ordinary young man finds himself stuck in an endless cat-and-mouse chase with a shrewd detective.  When one accidental killing leads to another, an ordinary young man finds himself stuck in an endless cat-and-mouse chase with a shrewd detective. ",https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/A_Killer_Paradox_poster.jpg/250px-A_Killer_Paradox_poster.jpg,https://en.wikipedia.org/wiki/A_Killer_Paradox
A Korean Odyssey,"['Lee Seung-gi', 'Cha Seung-won', 'Oh Yeon-seo', 'Lee Hong-gi', 'Jang Gwang']","['Park Hong-kyun', 'Kim Jung-hyun', 'Kim Byung-soo']","['Fantasy', 'Romance', 'Comedy', 'Horror']",7.9,"In 2017, Son Oh Gong and Ma Wang are in conflict with each other and they look for a true light in a dark world where evils exists everywhere.  In 2017, Son Oh Gong and Ma Wang are in conflict with each other and they look for a true light in a dark world where evils exists everywhere. ",https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/A_Korean_Odyssey_%28Hwayugi%29.jpg/220px-A_Korean_Odyssey_%28Hwayugi%29.jpg,https://en.wikipedia.org/wiki/A_Korean_Odyssey
A Love So Beautiful (South Korean TV series),"['Kim Yo-han', 'So Joo-yeon', 'Yeo Hoe-hyun', 'Jo Hye-joo', 'Jeong Jin-hwan']",['Seo Min-jeong'],"['Romantic comedy', 'Coming-of-age']",7.2,"Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood.  Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood. ",https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/A_Love_So_Beautiful_%28Web_series%29.jpg/220px-A_Love_So_Beautiful_%28Web_series%29.jpg,https://en.wikipedia.org/wiki/A_Love_So_Beautiful_(2020_TV_series)
A Man Called God,"['Song Il-kook', 'Han Chae-young', 'Kim Min-jong', 'Han Go-eun', 'Yoo In-young']",['Lee Hyung-sun'],"['Action', 'Romance']",6.3,"After his parents' murder, Michael King, a drug lord, seeks revenge on those responsible. But his ruthless pursuit is challenged when he falls for Jin Bo Bae, a journalist.  After his parents' murder, Michael King, a drug lord, seeks revenge on those responsible. But his ruthless pursuit is challenged when he falls for Jin Bo Bae, a journalist. ",https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Man_Called_God-poster.jpg/220px-Man_Called_God-poster.jpg,https://en.wikipedia.org/wiki/A_Man_Called_God
A Model Family,"['Jung Woo', 'Park Hee-soon', 'Yoon Jin-seo', 'Park Ji-yeon']",['Kim Jin-woo'],"['Crime', 'Thriller']",6.6,"After unwittingly stealing money from a cartel, a cash-strapped professor finds the only way to save his broken family is by working as a drug courier.  After unwittingly stealing money from a cartel, a cash-strapped professor finds the only way to save his broken family is by working as a drug courier. ",https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/A_Model_Family_poster.jpg/250px-A_Model_Family_poster.jpg,https://en.wikipedia.org/wiki/A_Model_Family
A New Leaf (TV series),"['Kim Myung-min', 'Park Min-young', 'Kim Sang-joong', 'Chae Jung-an']","['Park Jae-bum', 'Oh Hyun-jong']","['Drama', 'Legal drama', 'Romance']",4.6,People look at their DNA as they look back to see their family's history.  People look at their DNA as they look back to see their family's history. ,https://upload.wikimedia.org/wikipedia/en/thumb/e/e8/A_New_Leaf-poster.jpg/220px-A_New_Leaf-poster.jpg,https://en.wikipedia.org/wiki/A_New_Leaf_(TV_series)
A Piece of Your Mind,"['Jung Hae-in', 'Chae Soo-bin', 'Lee Ha-na', 'Kim Sung-kyu']",['Lee Sang-yeob'],['Melodrama'],7.3,A romance about an artificial intelligence (AI) programmer and classical recording engineer.  A romance about an artificial intelligence (AI) programmer and classical recording engineer. ,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/A_Piece_Of_Your_Mind_main_poster.jpg/220px-A_Piece_Of_Your_Mind_main_poster.jpg,https://en.wikipedia.org/wiki/A_Piece_of_Your_Mind
A Place in the Sun (South Korean TV series),"['Oh Chang-seok', 'Yoon So-yi', 'Choi Sung-jae', 'Ha Si-eun']",['Kim Won-yong'],"['Melodrama', 'Revenge']",6.8,"Kim Yoo Wol became an orphan and he was raised by foster parents. He worked extremely hard and passed his CPA exam. He enjoys happy days with his girlfriend Yoon Shi Wol, but he has a near-death experience. He changes his life and goes under the alias of Oh Tae Yang. He is dead t... Read all   Kim Yoo Wol became an orphan and he was raised by foster parents. He worked extremely hard and passed his CPA exam. He enjoys happy days with his girlfriend Yoon Shi Wol, but he has a near-death experience. He changes his life and goes under the alias of Oh Tae Yang. He is dead t... Read all Read all  ",https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/A_Place_in_the_Sun.jpg/220px-A_Place_in_the_Sun.jpg,https://en.wikipedia.org/wiki/A_Place_in_the_Sun_(South_Korean_TV_series)
A Pledge to God,"['Han Chae-young', 'Bae Soo-bin', 'Oh Yoon-ah', 'Lee Chun-hee']",['Yoon Jae-moon'],"['Melodrama', 'Family drama']",6,A human melodrama about two married couples who make choices beyond the ethics and morals of this world in order to save their dying children.  A human melodrama about two married couples who make choices beyond the ethics and morals of this world in order to save their dying children. ,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/A_Pledge_to_God.jpg/220px-A_Pledge_to_God.jpg,https://en.wikipedia.org/wiki/A_Pledge_to_God
A Poem a Day,"['Lee Yu-bi', 'Lee Joon-hyuk', 'Jang Dong-yoon']",['Han Sang-jae'],"['Medical', 'Slice of life']",7,"Story follows a group of physical therapists, nurses, radiological technologists, and trainees. Ye Jae Wook works as a physical therapist and also teaches in the same field. He begins to work as a team leader at a hospital. Woo Bo Yeong has been working as a physical therapist fo... Read all   Story follows a group of physical therapists, nurses, radiological technologists, and trainees. Ye Jae Wook works as a physical therapist and also teaches in the same field. He begins to work as a team leader at a hospital. Woo Bo Yeong has been working as a physical therapist fo... Read all Read all  ",https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/A_Poem_a_Day_poster.jpg/220px-A_Poem_a_Day_poster.jpg,https://en.wikipedia.org/wiki/A_Poem_a_Day
A Shop for Killers,"['Lee Dong-wook', 'Kim Hye-jun']","['Lee Kwon', 'Noh Kyu-yeob']",['Action drama'],8,"An action drama in which a niece who lost her parents and grew up in the hands of an uncle who runs a shopping mall, faces a new truth after her uncle's sudden death.  An action drama in which a niece who lost her parents and grew up in the hands of an uncle who runs a shopping mall, faces a new truth after her uncle's sudden death. ",https://upload.wikimedia.org/wikipedia/en/thumb/7/76/A_Shop_for_Killers.png/250px-A_Shop_for_Killers.png,https://en.wikipedia.org/wiki/A_Shop_for_Killers
A Shoulder to Cry On (TV series),"['Kim Jae-han', 'Shin Ye-chan']","['Song Soo-rim', 'Kim Jin-chul']","['Coming-of-age', 'Teen romance']",7.5,"Lee Da Yeol is an outsider at school, but an ill-timed run-in with a classmate puts his scholarship in jeopardy.  Lee Da Yeol is an outsider at school, but an ill-timed run-in with a classmate puts his scholarship in jeopardy. ",https://upload.wikimedia.org/wikipedia/en/thumb/1/10/A_Shoulder_to_Cry_On.jpg/220px-A_Shoulder_to_Cry_On.jpg,https://en.wikipedia.org/wiki/A_Shoulder_to_Cry_On_(TV_series)
A Superior Day,"['Jin Goo', 'Ha Do-kwon', 'Lee Won-keun']",['Jo Nam-hyeong'],"['Drama', 'Thriller']",5.9,"Based on webtoon by Team Getname, this series depicts 24-hour runaway thriller in which only the most superior survives, in which the most ordinary man must kill the serial killer who lives next door to save his kidnapped daughter   Based on webtoon by Team Getname, this series depicts 24-hour runaway thriller in which only the most superior survives, in which the most ordinary man must kill the serial killer who lives next door to save his kidnapped daughter ",https://upload.wikimedia.org/wikipedia/en/thumb/5/53/OCN-A_Superior_Day.jpg/220px-OCN-A_Superior_Day.jpg,https://en.wikipedia.org/wiki/A_Superior_Day
A Tale of Two Sisters (TV series),"['Park Se-young', 'Lee Hae-in', 'Yoo Gun', 'Park Jae-jung']",['Kim Myung-wook'],"['Drama, Romance, Family']",6.3,The relationships between female historical figures and their sisters.  The relationships between female historical figures and their sisters. ,No image,https://en.wikipedia.org/wiki/A_Tale_of_Two_Sisters_(TV_series)
A Thousand Days' Promise,"['Soo Ae', 'Kim Rae-won']",['Jung Eul-young'],"['Romance', 'Melodrama']",8.1,"A heart wrenching drama about a woman fighting to keep her dignity while dealing with her Alzheimer's. Can she accept help from her lover, even in the face of disgrace?  A heart wrenching drama about a woman fighting to keep her dignity while dealing with her Alzheimer's. Can she accept help from her lover, even in the face of disgrace? ",https://upload.wikimedia.org/wikipedia/en/thumb/2/21/A_Thousand_Days%27_Promise_poster.jpg/220px-A_Thousand_Days%27_Promise_poster.jpg,https://en.wikipedia.org/wiki/A_Thousand_Days%27_Promise
A Thousand Kisses (TV series),"['Seo Young-hee', 'Ji Hyun-woo', 'Ryu Jin', 'Kim So-eun']",['Yoon Jae-moon'],"['Romance', 'Melodrama']",7.3,"After divorcing her unfaithful husband, Joo-Mi receives a second chance at romance with an ex-professional soccer player named Woo-Bin. However, Joo-Mi's and Woo-Bin's age gap poses challenges to be overcome.   After divorcing her unfaithful husband, Joo-Mi receives a second chance at romance with an ex-professional soccer player named Woo-Bin. However, Joo-Mi's and Woo-Bin's age gap poses challenges to be overcome. ",https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/A_Thousand_Kisses-poster.jpg/220px-A_Thousand_Kisses-poster.jpg,https://en.wikipedia.org/wiki/A_Thousand_Kisses_(TV_series)
A Time Called You,"['Ahn Hyo-seop', 'Jeon Yeo-been', 'Kang Hoon']",['Kim Jin-won'],"['Time travel', 'Mystery', 'Romance']",7.9,"A grieving woman magically travels through time to 1998, where she meets a man with an uncanny resemblance to her late love.  A grieving woman magically travels through time to 1998, where she meets a man with an uncanny resemblance to her late love. ",https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/A_Time_Called_You.jpg/250px-A_Time_Called_You.jpg,https://en.wikipedia.org/wiki/A_Time_Called_You
A Virtuous Business,"['Kim So-yeon', 'Yeon Woo-jin', 'Kim Sung-ryung', 'Kim Sun-young', 'Lee Se-hee']",['Jo Woong'],['Comedy drama'],7.3,"Four women started selling adult products door-to-door in a rural village in 1992, a time when ""sex"" was still taboo.  Four women started selling adult products door-to-door in a rural village in 1992, a time when ""sex"" was still taboo. ",https://upload.wikimedia.org/wikipedia/en/thumb/5/50/A_Virtuous_Business_poster.png/250px-A_Virtuous_Business_poster.png,https://en.wikipedia.org/wiki/A_Virtuous_Business
A Witch's Love,"['Uhm Jung-hwa', 'Park Seo-joon']",['Lee Jung-hyo'],"['Romance, Comedy']",7.4,"Based on the popular Taiwanese drama, My Queen. Despite her witchy reputation at work, 39-year-old tabloid reporter Ban Ji Yeon (Uhm Jung Hwa) is ultra focused on her job.  Based on the popular Taiwanese drama, My Queen. Despite her witchy reputation at work, 39-year-old tabloid reporter Ban Ji Yeon (Uhm Jung Hwa) is ultra focused on her job. ",https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Witch%27s_Romance.jpg/220px-Witch%27s_Romance.jpg,https://en.wikipedia.org/wiki/A_Witch%27s_Love
A-Teen,"['Shin Ye-eun', 'Lee Na-eun', 'Shin Seung-ho', 'Kim Dong-hee', 'Kim Su-hyun', 'Ryu Ui-hyun']",['Han Soo-ji'],"['Teen', 'Coming-of-age', 'Romance']",7.3,"It's easy to talk about teenagers, but we are now in our teens for the first time. All the moments were too serious to say I was not worried.  It's easy to talk about teenagers, but we are now in our teens for the first time. All the moments were too serious to say I was not worried. ",https://upload.wikimedia.org/wikipedia/en/thumb/b/b1/A_TEEN_2018.jpg/220px-A_TEEN_2018.jpg,https://en.wikipedia.org/wiki/A-Teen
A-Teen 2,"['Lee Na-eun', 'Choi Bo-min', 'Kim Dong-hee', 'Kang Min-ah', 'Kim Su-hyun', 'Ryu Ui-hyun', 'Shin Ye-eun', 'Shin Seung-ho']",['Han Soo-ji'],['Coming-of-age'],7.3,"It's easy to talk about teenagers, but we are now in our teens for the first time. All the moments were too serious to say I was not worried.  It's easy to talk about teenagers, but we are now in our teens for the first time. All the moments were too serious to say I was not worried. ",https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/A_TEEN_Season_2.jpg/220px-A_TEEN_Season_2.jpg,https://en.wikipedia.org/wiki/A-Teen_2
About Time (TV series),"['Lee Sang-yoon', 'Lee Sung-kyung']","['Kim Hyung-sik', 'Park Shin-woo']","['Fantasy', 'Romance', 'Melodrama']",6.9,"Choi Michaela has a special ability to see other people's clocks and discovers that Lee Do Ha can stop the time of his vital clock, so she decides to pursue him and they fall in love and have a romantic relationship.   Choi Michaela has a special ability to see other people's clocks and discovers that Lee Do Ha can stop the time of his vital clock, so she decides to pursue him and they fall in love and have a romantic relationship. ",https://upload.wikimedia.org/wikipedia/en/thumb/7/78/About_Time_%28TV_series%29.jpg/220px-About_Time_%28TV_series%29.jpg,https://en.wikipedia.org/wiki/About_Time_(TV_series)
Abyss (TV series),"['Park Bo-young', 'Ahn Hyo-seop', 'Lee Sung-jae']",['Yoo Je-won'],"['Romantic comedy', 'Fantasy', 'Crime']",7.1,"After meeting an untimely demise in separate incidents, Cha Min and Go Se-yeon discover they've come back to life in new bodies they don't recognize.  After meeting an untimely demise in separate incidents, Cha Min and Go Se-yeon discover they've come back to life in new bodies they don't recognize. ",https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/Abyss_TV_series.jpg/250px-Abyss_TV_series.jpg,https://en.wikipedia.org/wiki/Abyss_(TV_series)
Adamas (TV series),"['Ji Sung', 'Seo Ji-hye', 'Lee Soo-kyung']",['Park Seung-woo'],"['Fantasy', 'Romance']",7,A story of twin brothers uncovering the truth from an incident 22 years ago.  A story of twin brothers uncovering the truth from an incident 22 years ago. ,https://upload.wikimedia.org/wikipedia/en/thumb/a/aa/Adamas_%28TV_series%29.jpg/250px-Adamas_%28TV_series%29.jpg,https://en.wikipedia.org/wiki/Adamas_(TV_series)
Adult Trainee,"['Ryu Ui-hyun', 'Cho Mi-yeon', 'Jo Yoo-jung', 'Ryeoun', 'Kwon Young-eun', 'Kim Min-gi']","['Yoo Hak-chan', 'Jeong Hyeong-gun']","['Romantic comedy', 'Teen']",6.7,Three different coming-of-age stories from the point of view of the protagonists about how they deal with their realities in high school at the end of their teenage period as Gen Z.  Three different coming-of-age stories from the point of view of the protagonists about how they deal with their realities in high school at the end of their teenage period as Gen Z. ,https://upload.wikimedia.org/wikipedia/en/thumb/d/d2/Adult_Trainee.jpeg/220px-Adult_Trainee.jpeg,https://en.wikipedia.org/wiki/Adult_Trainee
Aftermath (South Korean TV series),"['Kim Dong-jun', 'Joo Yeon-woo', 'Sun Joo-ah']",['Kim Yang-hee'],['Thrillermysterysupernatural'],6.3,He can tell if they're future killers or future victims. What's a regular kid supposed to do with this kind of power?  He can tell if they're future killers or future victims. What's a regular kid supposed to do with this kind of power? ,https://upload.wikimedia.org/wikipedia/en/3/31/Aftermath_%ED%9B%84%EC%9C%A0%EC%A6%9D_%282014%29_Poster.jpg,https://en.wikipedia.org/wiki/Aftermath_(South_Korean_TV_series)
Again My Life,"['Lee Joon-gi', 'Lee Geung-young', 'Kim Ji-eun', 'Jung Sang-hoon']","['Han Chul-soo', 'Kim Yong-min']","['Fantasy', 'Action']",7.7,"A hot-blooded prosecutor is murdered when he gets entangled in an investigation around a corrupt politician. He gets sent back in time to when he was 18 years old, and he prepares to take down his enemy.   A hot-blooded prosecutor is murdered when he gets entangled in an investigation around a corrupt politician. He gets sent back in time to when he was 18 years old, and he prepares to take down his enemy. ",https://upload.wikimedia.org/wikipedia/en/thumb/9/91/Again_My_Life.jpeg/220px-Again_My_Life.jpeg,https://en.wikipedia.org/wiki/Again_My_Life
